,posted,neighborhood,location,post title,number bedrooms,sqft,URL,price,distance_to_CMU,duration_CMU,bus_distance_CMU,distance_to_downtown,duration_downtown,bus_distance_downtown,lat,lon,Coordinates,nearest_restaurants,nearest_shuttle_stop
69,2020-02-07 19:18,(North Oakland),40.451911;-79.959526,APR 1 - Room in beautiful house with grad students,,150.0,https://pittsburgh.craigslist.org/roo/d/pittsburgh-apr-1-room-in-beautiful/7071193723.html,600,4758.0,1536.0,117.0,5041.0,1602.0,885.0,40.451910999999996,-79.959526,POINT (191986019.3790062 -19974012.27287395),"[('UPMC Presbyterian Cafeteria', 6.911687419175578, 3.5), ('Prince of India', 7.808491580976277, 3.5), ('Thirsty Scholar Bar & Grille', 7.858825583192468, 4.0), ('Love Ramen', 8.00841305359177, 4.0), ('Malaxiangguo', 8.00841305359177, 3.5)]","('Fifth Avenue at South Aiken Avenue', 'B', 3.4238410941688)"
71,2020-02-07 19:17,(Brookline),40.400100;-80.016100,Very Clean 3 Bedroom Ranch for Rent,3.0,,https://pittsburgh.craigslist.org/apa/d/pittsburgh-very-clean-3-bedroom-ranch/7056092163.html,1100,11602.0,3062.0,282.0,6253.0,1801.0,282.0,40.4001,-80.0161,POINT (192660828.0941615 -20251827.89953876),"[(""Jolina's Mediterranean Cuisine"", 6.956782332402013, 4.5), ('Boulevard Lounge', 9.811801516766485, 4.0), (""Hank's Hotdogs Too"", 9.906247996790482, 4.0), (""Fiori's Pizzaria"", 10.128836718930438, 4.5), (""Amel's Restaurant"", 11.694381335764389, 4.0)]","('North Dithridge Street at Bayard Street', 'A', 34.03787600671368)"
72,2020-02-07 19:13,(Pittsburgh),40.426800;-80.004200,Fixer Upper 10 Min from Downtown,3.0,2369.0,https://pittsburgh.craigslist.org/reo/d/pittsburgh-fixer-upper-10-min-from/7071177124.html,39740,8493.0,2929.0,1508.0,3144.0,1668.0,1508.0,40.4268,-80.0042,POINT (192526447.3089743 -20159099.1929246),"[('Buca di Beppo Italian Restaurant', 4.588027054515423, 2.5), ('Gandy Dancer Saloon', 4.735251390295115, 3.5), (""Joe's Crab Shack"", 4.769430183410301, 3.0), ('Grand Concourse', 4.800786109338732, 3.5), ('Terrene', 4.929145995389274, 3.5)]","('Greenfield Avenue @ Yoder Street', 'PTC', 5.2952578095178024)"
73,2020-02-07 19:06,(Regent Square - East End),40.439517;-79.887836,"Modern One Bedroom, Full Kitchen W/ Dishwasher, Pet Friendly, Mar 1st",1.0,863.0,https://pittsburgh.craigslist.org/apa/d/pittsburgh-modern-one-bedroom-full/7068090276.html,930,5500.0,1439.0,208.0,13147.0,2162.0,622.0,40.439516999999995,-79.887836,POINT (191100303.875616 -19792482.18171787),"[(""Nancy's Revival"", 6.519285169838873, 4.5), ('Soul Food Connection', 9.06276680438938, 4.5), (""Applebee's Grill + Bar"", 9.748623981087118, 3.0), ('GoodFellas Restaurant & Tavern', 11.58408610954404, 4.5), ('Triangle Bar & Grill', 14.727873044602699, 4.5)]","('Fifth Avenue at South Aiken Avenue', 'B', 99.76192127596853)"
74,2020-02-07 22:02,(Regent Square - East End),40.439255;-79.887686,"Modern One Bedroom, Full Kitchen W/ Dishwasher, Pet Friendly, Mar 1st",1.0,863.0,https://pittsburgh.craigslist.org/apa/d/pittsburgh-modern-one-bedroom-full/7064705862.html,930,5630.0,1548.0,338.0,12928.0,2009.0,403.0,40.439254999999996,-79.887686,POINT (191098341.7567973 -19792610.20950471),"[(""Nancy's Revival"", 6.023374673092094, 4.5), ('Soul Food Connection', 8.550549287556612, 4.5), (""Applebee's Grill + Bar"", 9.846691046111133, 3.0), ('GoodFellas Restaurant & Tavern', 11.326532328294942, 4.5), ('Triangle Bar & Grill', 14.57900984597629, 4.5)]","('Fifth Avenue at South Aiken Avenue', 'B', 100.34454629823874)"
75,2020-02-07 19:01,(Regent Square - Frick Park),40.443273;-79.891355,"Apartment in Classic Neighborhood House, Yard, Dog Friendly, Aug 1st",1.0,,https://pittsburgh.craigslist.org/apa/d/pittsburgh-apartment-in-classic/7067699779.html,865,5397.0,1392.0,264.0,12637.0,1786.0,606.0,40.443273,-79.891355,POINT (191145136.1726642 -19794599.3326607),"[('The Dream BBQ', 6.588617583804716, 4.5), ('Square Cafe', 10.469097614054077, 4.0), ('El Burro', 11.34339279608147, 3.5), (""D's Six Pax & Dogz"", 11.515872211558518, 4.0), ('Thai Cottage', 11.569602417888149, 4.0)]","('Fifth Avenue at South Aiken Avenue', 'B', 86.20538610546363)"
76,2020-02-07 18:57,(South Hills),40.347200;-80.115300,3 Bedroom House in Nice Area,3.0,,https://pittsburgh.craigslist.org/reo/d/bridgeville-3-bedroom-house-in-nice-area/7064818681.html,99500,25331.0,5679.0,1349.0,19570.0,4112.0,1349.0,40.3472,-80.1153,POINT (193878959.9248257 -20662236.95741022),"[('Wild Rosemary', 87.91809179953354, 4.0), ('Primanti Bros', 89.59025408767124, 3.5), ('Leogreta', 102.93607731837297, 4.0), (""Brick N' Mortar Kitchen & Catering"", 113.48523387596967, 4.5), ('Insurrection AleWorks', 114.5803575928124, 4.5)]","('Shady Avenue at Fifth Avenue', 'BS', 220.3029090418208)"
77,2020-02-07 18:51,(Regent Square),40.443812;-79.892471,"House Apartment w/Porch & Yard, Pet Friendly, Charming Style, Aug 1",1.0,600.0,https://pittsburgh.craigslist.org/apa/d/pittsburgh-house-apartment-porch-yard/7069526704.html,955,5301.0,1365.0,301.0,12753.0,1863.0,722.0,40.443812,-79.892471,POINT (191159028.6300657 -19796668.32484003),"[('The Dream BBQ', 7.933245082768709, 4.5), ('Square Cafe', 8.421903314192662, 4.0), ('El Burro', 8.791097801372693, 3.5), ('Istanbul Grille', 8.905444778378936, 4.5), ('Thai Cottage', 8.943552691545113, 4.0)]","('Fifth Avenue at South Aiken Avenue', 'B', 81.92864538560809)"
78,2020-02-07 21:30,(Regent Square - East End),40.443844;-79.892535,"First Floor of Stately Remodeled House, Yard & Porch, Aug 1st",1.0,706.0,https://pittsburgh.craigslist.org/apa/d/pittsburgh-first-floor-of-stately/7058140642.html,1021,5303.0,1366.0,303.0,12751.0,1861.0,720.0,40.443844,-79.892535,POINT (191159825.9584908 -19796784.65506302),"[('The Dream BBQ', 8.072095447027095, 4.5), ('Square Cafe', 8.356636074932878, 4.0), ('El Burro', 8.686689984067534, 3.5), ('Istanbul Grille', 8.789362251130012, 4.5), ('Thai Cottage', 8.832899574931263, 4.0)]","('Fifth Avenue at South Aiken Avenue', 'B', 81.68334697604496)"
79,2020-02-07 18:51,(North Braddock),40.411069;-79.864871,Investment Opportunity,2.0,1024.0,https://pittsburgh.craigslist.org/reb/d/braddock-investment-opportunity/7071178777.html,27499,11263.0,2333.0,280.0,17122.0,3662.0,280.0,40.411069,-79.864871,POINT (190806346.8028089 -19787133.68446188),"[('Steel Towne Inn', 4.102625743075964, 4.5), ('Superior Motors', 19.000070761746304, 4.0), ('Royal Carribbean', 35.728371431542605, 3.5), (""Peppi's"", 37.43628319719904, 3.5), (""Dad's Pub & Grub"", 39.64898573824895, 4.5)]","('Fifth Avenue at South Aiken Avenue', 'B', 188.8155080758574)"
80,2020-02-07 18:47,(Downtown Pgh),40.438981;-80.005215,"Hardwood Floors, Heart of Downtown, Quartz Countertops, Rooftop Pool!",2.0,975.0,https://pittsburgh.craigslist.org/apa/d/pittsburgh-hardwood-floors-heart-of/7069795055.html,1670,6098.0,1591.0,600.0,449.0,347.0,449.0,40.438981,-80.005215,POINT (192545289.0239542 -20135801.72143824),"[('Buon Giorno Cafe', 0.4288515203391222, 4.0), ('Bluebird Kitchen', 1.4368410612041287, 4.0), (""Eddie Merlot's - Pittsburgh"", 2.3751688478201025, 4.0), ('The Melting Pot', 3.0404170783829363, 4.0), ('Gateway Center Cafeteria', 3.277938468207584, 3.5)]","('Beacon Street at Murray Avenue', 'BS', 5.855732102264133)"
81,2020-02-07 18:47,(New Kensington/Arnold),40.578700;-79.768500,House for sale,3.0,2160.0,https://pittsburgh.craigslist.org/reo/d/new-kensington-house-for-sale/7071175949.html,28000,41700.0,8027.0,2768.0,35639.0,6448.0,2768.0,40.5787,-79.7685,POINT (189728716.986718 -19155371.79393727),"[('Cousins Maine Lobster - Pittsburgh', 59.51585181879657, 4.0), (""hanadi's"", 320.5352347681207, 5.0), ('Roman Bistro', 326.1790435998022, 3.5), ('Starlite Lounge', 351.0413554032112, 3.5), ('Maenam Thai Restaurant', 355.1429671044338, 5.0)]","('Fifth Avenue at South Aiken Avenue', 'B', 557.9016230798707)"
82,2020-02-07 18:41,(@theInlet OCEAN CITY MD WORCESTER STREET),38.328920;-75.090351,"WHEN YOU WALK IN THE FRONT DOOR, YOU WILL SAY ""WOW! WHAT A VIEW""!!!",2.0,1000.0,https://pittsburgh.craigslist.org/vac/d/ocean-city-when-you-walk-in-the-front/7064248278.html,0,842688.0,64786.0,317.0,837825.0,63233.0,317.0,38.328920000000004,-75.090351,POINT (147831432.6299172 -13251746.14360734),"[('Cousins Maine Lobster - Pittsburgh', 12947.956851003959, 4.0), (""hanadi's"", 13188.1532675914, 5.0), ('Roman Bistro', 13194.458845881953, 3.5), ('Superior Motors', 13231.90137115439, 4.0), ('Starlite Lounge', 13236.581931673329, 3.5)]","('Fifth Avenue at South Aiken Avenue', 'B', 13437.920935325534)"
83,2020-02-07 18:40,(Kennerdell),41.299914;-79.800353,:      Mountain Cabin / House for Rent,2.0,,https://pittsburgh.craigslist.org/apa/d/kennerdell-mountain-cabin-house-for-rent/7071172007.html,675,,,,,,,41.299914,-79.800353,POINT (190465812.924753 -17707248.51152711),"[('Cousins Maine Lobster - Pittsburgh', 510.15721462403184, 4.0), ('Starlite Lounge', 584.4444168552986, 3.5), ('Maenam Thai Restaurant', 586.3380356340494, 5.0), (""Nox's Tavern and Grille"", 588.8817570100387, 4.5), (""Bob's Garage"", 606.6195779966616, 3.5)]","('Fifth Avenue at South Aiken Avenue', 'B', 714.8818944642267)"
84,2020-02-07 18:37,(Regent Square - Frick Park),40.442587;-79.892771,"Elegant Townhouse, Large Yard, Dog Friendly, Aug 1st",2.0,936.0,https://pittsburgh.craigslist.org/apa/d/pittsburgh-elegant-townhouse-large-yard/7069530763.html,1228,5169.0,1268.0,169.0,11028.0,2597.0,169.0,40.442586999999996,-79.892771,POINT (191162068.9126145 -19800159.36819619),"[('Square Cafe', 7.281293680176357, 4.0), ('El Burro', 7.517826769531393, 3.5), ('Istanbul Grille', 7.599336619619503, 4.5), ('Thai Cottage', 7.652151481778271, 4.0), (""D's Six Pax & Dogz"", 7.7908479508865005, 4.0)]","('Fifth Avenue at South Aiken Avenue', 'B', 80.81861991421688)"
